alumno_id,grupo,carrera,Aritmetica1,Aritmetica2,Aritmetica3,Aritmetica4,Aritmetica5,Aritmetica6,Aritmetica7,Aritmetica8,Algebra1,Algebra2,Algebra3,Algebra4,Algebra5,Algebra6,Algebra7,Algebra8,Algebra9,Geometria1,Geometria2,Geometria3,Geometria4,Geometria5,Geometria6,Geometria7,Geometria8,Trigonometria1,Trigonometria2,Trigonometria3,Trigonometria4,Cal Aritmetica,Cal Algebra,Cal Geometria,Cal Trigonometria,Suma Aritmetica,Suma Algebra,Suma Geometria,Suma Trigonometria,Cal Final,Suma Final,Aprobado Aritmetica,Aprobado Algebra,Aprobado Geometria,Aprobado Trigonometria,Aprobado General,Curso
2243330372,G,I.S.C. ,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,89,100,100,8,8,8,4,97,28,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330075,R,I.C.,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88,100,100,75,7,9,8,3,93,27,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330325,H,I.S.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88,100,100,75,7,9,8,3,93,27,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330042,R,I.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,88,89,88,100,7,8,7,4,90,26,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330209,C,I.I.S.,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,88,78,88,100,7,7,7,4,86,25,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330117,R,I.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,88,67,100,75,7,6,8,3,83,24,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330295,T,I.N.,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,88,67,88,100,7,6,7,4,83,24,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330008,S,I.C.,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,88,67,88,75,7,6,7,3,79,23,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO
2243330232,C,I.I.S.,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,100,67,88,50,8,6,7,2,79,23,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI
2243330331,I,I.S.C.,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,100,44,88,100,8,4,7,4,79,23,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI
