alumno_id,grupo,carrera,Aritmetica1,Aritmetica2,Aritmetica3,Aritmetica4,Aritmetica5,Aritmetica6,Aritmetica7,Aritmetica8,Algebra1,Algebra2,Algebra3,Algebra4,Algebra5,Algebra6,Algebra7,Algebra8,Algebra9,Geometria1,Geometria2,Geometria3,Geometria4,Geometria5,Geometria6,Geometria7,Geometria8,Trigonometria1,Trigonometria2,Trigonometria3,Trigonometria4,Cal Aritmetica,Cal Algebra,Cal Geometria,Cal Trigonometria,Suma Aritmetica,Suma Algebra,Suma Geometria,Suma Trigonometria,Cal Final,Suma Final,Aprobado Aritmetica,Aprobado Algebra,Aprobado Geometria,Aprobado Trigonometria,Aprobado General,Curso,No_Materias 2024-3,Calificacion 2024-3,No_Materias 2025-1,Calificacion 2025-1,Inscrito 2024-3,Inscrito  2025-1,Termino 2024-3,Termino 2025-1,M_Reprobadas 2024-3,M_Reprobadas 2025-1,M_Aprobadas 2024-3,M_Aprobadas 2025-1,Porcentaje_M_R_2024-3,Porcentaje_M_R_2025-1,Porcentaje_M_A_2024-3,Porcentaje_M_A_2025-1,MAT_No_Materias 2024-3,MAT_Calificacion 2024-3,MAT_No_Materias 2025-1,MAT_Calificacion 2025-1,MAT_Inscrito 2024-3,MAT_Inscrito  2025-1,MAT_M_Reprobadas 2024-3,MAT_M_Reprobadas 2025-1,MAT_M_Aprobadas 2024-3,MAT_M_Aprobadas 2025-1,MAT_Porcentaje_M_R_2024-3,MAT_Porcentaje_M_R_2025-1,MAT_Porcentaje_M_A_2024-3,MAT_Porcentaje_M_A_2025-1,Asistencia_Curso,Periodo,Prom_General,MAT_Prom_General,Mat_Aprobadas_General
2243330372,G,I.S.C. ,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,89,100,100,8,8,8,4,97,28,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,9.63,8,9.5,SI,SI,SI,SI,0,0,8,8,0,0,1,1,5,9.4,4,9.75,SI,SI,0,0,5,4,0,0,1,1,3,2024-3,9.565,9.555555556,16
2243330075,R,I.C.,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88,100,100,75,7,9,8,3,93,27,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,9.5,8,9.88,SI,SI,SI,SI,0,0,8,8,0,0,1,1,6,9.33,5,10,SI,SI,0,0,6,5,0,0,1,1,2,2024-3,9.69,9.634545455,16
2243330325,H,I.S.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88,100,100,75,7,9,8,3,93,27,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,8.88,8,8.75,SI,SI,SI,SI,0,0,8,8,0,0,1,1,5,9.6,4,9,SI,SI,0,0,5,4,0,0,1,1,2,2024-3,8.815,9.333333333,16
2243330042,R,I.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,88,89,88,100,7,8,7,4,90,26,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,9.63,10,9.2,SI,SI,SI,SI,0,0,8,10,0,0,1,1,6,9.5,5,8.8,SI,SI,0,0,6,5,0,0,1,1,8,2024-3,9.391111111,9.181818182,18
2243330209,C,I.I.S.,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,88,78,88,100,7,7,7,4,86,25,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,9.25,9,9.11,SI,SI,SI,SI,0,0,8,9,0,0,1,1,5,9,5,9.2,SI,SI,0,0,5,5,0,0,1,1,8,2024-3,9.175882353,9.1,17
2243330117,R,I.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,88,67,100,75,7,6,8,3,83,24,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,3.33,4,7,SI,SI,SI,SI,7,3,1,1,0.88,0.75,0.13,0.25,6,0,2,7,SI,SI,6,1,0,1,1,0.5,0,0.5,1,2024-3,4.553333333,1.75,2
2243330295,T,I.N.,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,88,67,88,100,7,6,7,4,83,24,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,9,9.78,9,9.78,SI,SI,SI,SI,0,0,9,9,0,0,1,1,4,10,5,9.6,SI,SI,0,0,4,5,0,0,1,1,6,2024-3,9.78,9.777777778,18
2243330008,S,I.C.,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,88,67,88,75,7,6,7,3,79,23,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,9.38,8,8.63,SI,SI,SI,SI,0,0,8,8,0,0,1,1,6,9.5,5,9,SI,SI,0,0,6,5,0,0,1,1,4,2024-3,9.005,9.272727273,16
2243330232,C,I.I.S.,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,100,67,88,50,8,6,7,2,79,23,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI,8,9,9,9.22,SI,SI,SI,SI,0,0,8,9,0,0,1,1,5,8.4,5,9.4,SI,SI,0,0,5,5,0,0,1,1,6,2024-3,9.116470588,8.9,17
2243330331,I,I.S.C.,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,100,44,88,100,8,4,7,4,79,23,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,9.63,8,9.63,SI,SI,SI,SI,0,0,8,8,0,0,1,1,5,9.6,4,9.75,SI,SI,0,0,5,4,0,0,1,1,7,2024-3,9.63,9.666666667,16
2243330339,G,I.S.C. ,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,88,56,100,75,7,5,8,3,79,23,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,8.5,7,9.43,SI,SI,SI,SI,0,0,8,7,0,0,1,1,5,8.8,4,9.5,SI,SI,0,0,5,4,0,0,1,1,0,2024-3,8.934,9.111111111,15
2243330062,R,I.C.,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,88,33,100,100,7,3,8,4,76,22,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,9,0,0,SI,NO,SI,NO,0,0,8,0,0,0,1,0,6,8.67,0,0,SI,NO,0,0,6,0,0,0,1,0,4,2024-3,9,8.67,8
2243330004,A,I.C.,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,88,78,63,75,7,7,5,3,76,22,APROBADO,APROBADO,APROBADO,APROBADO,APROBADO,NO,8,8.88,8,9.63,SI,SI,SI,SI,0,0,8,8,0,0,1,1,6,9,5,9.4,SI,SI,0,0,6,5,0,0,1,1,0,2024-3,9.255,9.181818182,16
2243330033,A,I.C.,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,100,56,75,75,8,5,6,3,76,22,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,8.88,9,9,SI,SI,SI,SI,0,0,8,9,0,0,1,1,6,8.83,5,9.2,SI,SI,0,0,6,5,0,0,1,1,0,2024-3,8.943529412,8.998181818,17
2243330126,A,I.C.,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,88,56,75,100,7,5,6,4,76,22,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,9,8,9.25,SI,SI,SI,SI,0,0,8,8,0,0,1,1,6,9,5,9.4,SI,SI,0,0,6,5,0,0,1,1,0,2024-3,9.125,9.181818182,16
2243330103,R,I.C.,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,88,56,88,50,7,5,7,2,72,21,APROBADO,REPROBADO,APROBADO,REPROBADO,APROBADO,SI,8,7.43,8,7.43,SI,SI,SI,SI,2,1,6,7,0.25,0.13,0.75,0.88,6,6.6,6,6.8,SI,SI,2,1,4,5,0.33,0.17,0.67,0.83,4,2024-3,7.43,6.7,13
2243330384,H,I.S.C.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,88,89,63,25,7,8,5,1,72,21,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI,8,8.25,7,7.6,SI,SI,SI,SI,4,2,4,5,0.5,0.29,0.5,0.71,5,7,4,7,SI,SI,3,2,2,2,0.6,0.5,0.4,0.5,4,2024-3,7.946666667,7,9
2213320582,H,I.S.C.,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,75,67,88,50,6,6,7,2,72,21,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI,7,8,0,0,SI,NO,SI,NO,5,0,2,0,0.71,0,0.29,0,5,8,0,0,SI,NO,3,0,2,0,0.6,0,0.4,0,0,2024-3,8,8,2
2243330390,H,I.S.C.,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,88,67,88,25,7,6,7,1,72,21,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI,8,9.13,8,9,SI,SI,SI,SI,0,0,8,8,0,0,1,1,5,9.2,4,9,SI,SI,0,0,5,4,0,0,1,1,7,2024-3,9.065,9.111111111,16
2243330249,C,I.I.S.,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,75,56,75,100,6,5,6,4,72,21,APROBADO,REPROBADO,APROBADO,APROBADO,APROBADO,SI,8,9.5,9,10,SI,SI,SI,SI,0,0,8,9,0,0,1,1,5,9.2,5,10,SI,SI,0,0,5,5,0,0,1,1,6,2024-3,9.764705882,9.6,17
2243330199,D,I.I.S.,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,88,67,88,25,7,6,7,1,72,21,APROBADO,APROBADO,APROBADO,REPROBADO,APROBADO,SI,8,9.63,9,9.78,SI,SI,SI,SI,0,0,8,9,0,0,1,1,5,9.6,5,9.6,SI,SI,0,0,5,5,0,0,1,1,4,2024-3,9.709411765,9.6,17
